"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-06,"12:48:00","X4","TX",16
2023-01-06,"07:30:00","X4","TN",7.7
2023-01-06,NA,"X4","HRM",58
2023-01-06,"23:04:00","X4","HRX",77
2023-01-06,"11:08:00","X4","HRN",40
2023-01-06,NA,"X4","PM",1020.8
2023-01-06,"10:30:00","X4","PX",1022.4
2023-01-06,"16:07:00","X4","PN",1019.9
2023-01-06,NA,"X4","PPT",0
2023-01-06,NA,"X4","RS24h",9.2
2023-01-06,NA,"X4","VVM10",0.9
2023-01-06,NA,"X4","DVM10",243
2023-01-06,"00:39:00","X4","VVX10",5.8
2023-01-06,"00:39:00","X4","DVVX10",306
2023-01-06,NA,"X8","TM",10.7
2023-01-06,"12:57:00","X8","TX",16.1
2023-01-06,"07:30:00","X8","TN",6.6
2023-01-06,NA,"X8","HRM",63
2023-01-06,"23:32:00","X8","HRX",88
2023-01-06,"12:58:00","X8","HRN",40
2023-01-06,NA,"X8","PM",1014.9
2023-01-06,"10:06:00","X8","PX",1016.5
2023-01-06,"14:40:00","X8","PN",1014.1
2023-01-06,NA,"X8","PPT",0
2023-01-06,NA,"X8","RS24h",8.9
2023-01-06,NA,"X8","VVM10",1.3
2023-01-06,NA,"X8","DVM10",272
2023-01-06,"06:24:00","X8","VVX10",5
2023-01-06,"06:24:00","X8","DVVX10",291
2023-01-07,NA,"D5","TM",9.5
2023-01-07,"14:41:00","D5","TX",13.3
2023-01-07,"19:00:00","D5","TN",7.2
2023-01-07,NA,"D5","HRM",67
2023-01-07,"03:40:00","D5","HRX",100
2023-01-07,"14:39:00","D5","HRN",46
2023-01-07,NA,"D5","PM",971.3
2023-01-07,"00:00:00","D5","PX",974.7
2023-01-07,"23:59:00","D5","PN",968.7
2023-01-07,NA,"D5","PPT",0
2023-01-07,NA,"D5","RS24h",9.6
2023-01-07,NA,"D5","VVM10",5.8
2023-01-07,NA,"D5","DVM10",267
2023-01-07,"11:18:00","D5","VVX10",14.7
2023-01-07,"11:18:00","D5","DVVX10",295
2023-01-07,NA,"X2","TM",10.2
2023-01-07,"15:08:00","X2","TX",15.7
2023-01-07,"07:35:00","X2","TN",5.3
2023-01-07,NA,"X2","HRM",66
2023-01-07,"07:08:00","X2","HRX",92
2023-01-07,"10:47:00","X2","HRN",38
2023-01-07,NA,"X4","TM",12.5
2023-01-07,"14:50:00","X4","TX",16.7
2023-01-07,"05:39:00","X4","TN",9.3
2023-01-07,NA,"X4","HRM",57
2023-01-07,"07:10:00","X4","HRX",83
2023-01-07,"15:13:00","X4","HRN",36
2023-01-07,NA,"X4","PM",1016.6
2023-01-07,"00:01:00","X4","PX",1020.1
2023-01-07,"23:59:00","X4","PN",1013.6
2023-01-07,NA,"X4","PPT",0
2023-01-07,NA,"X4","RS24h",9.5
2023-01-07,NA,"X4","VVM10",1.7
2023-01-07,NA,"X4","DVM10",273
2023-01-07,"11:00:00","X4","VVX10",10.2
2023-01-07,"11:00:00","X4","DVVX10",297
2023-01-07,NA,"X8","TM",11.5
2023-01-07,"14:35:00","X8","TX",15.9
2023-01-07,"00:24:00","X8","TN",7.7
2023-01-07,NA,"X8","HRM",61
2023-01-07,"05:11:00","X8","HRX",93
2023-01-07,"14:36:00","X8","HRN",39
2023-01-07,NA,"X8","PM",1010.8
2023-01-07,"00:01:00","X8","PX",1014.2
2023-01-07,"23:59:00","X8","PN",1007.9
2023-01-07,NA,"X8","PPT",0
2023-01-07,NA,"X8","RS24h",9.4
2023-01-07,NA,"X8","VVM10",2.8
2023-01-07,NA,"X8","DVM10",292
2023-01-07,"11:22:00","X8","VVX10",12.3
2023-01-07,"11:22:00","X8","DVVX10",303
2023-01-08,NA,"D5","TM",11.9
2023-01-08,"11:52:00","D5","TX",13.6
2023-01-08,"01:19:00","D5","TN",9.8
2023-01-08,NA,"D5","HRM",72
2023-01-08,"14:04:00","D5","HRX",86
2023-01-08,"08:21:00","D5","HRN",56
2023-01-08,NA,"D5","PM",964.4
2023-01-08,"00:00:00","D5","PX",968.8
2023-01-08,"17:22:00","D5","PN",961.1
2023-01-08,NA,"D5","PPT",0.2
2023-01-08,NA,"D5","RS24h",3.2
2023-01-08,NA,"D5","VVM10",4.5
2023-01-08,NA,"D5","DVM10",266
2023-01-08,"17:46:00","D5","VVX10",11.9
2023-01-08,"17:46:00","D5","DVVX10",274
